Trigger Count=2535256	Output Count=27002	Elapsed Time=14:00:00.025	Number of Pulses CH0=2	Number of Pulses CH1=0
)=2.50E+8	Min record length=1989	Trigger level (V)=0.2000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=7.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+5
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
9.280000E-7	0.182512	5.857090E-8	2.176000E-6	0.061525	7.404076E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.120000E-7	0.265917	6.320472E-8	2.552000E-6	0.125772	7.454009E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.000000E-6	0.477413	6.685058E-8	2.104000E-6	0.033672	5.532458E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.880000E-7	0.240281	7.229899E-8	2.396000E-6	0.042040	5.591558E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.240000E-7	0.179043	6.334021E-8	3.536000E-6	0.072124	7.546486E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8.920000E-7	0.461646	6.504743E-8	2.152000E-6	0.132266	5.996610E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.320000E-7	0.121652	5.825388E-8	1.976000E-6	0.053375	5.844470E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.240000E-7	0.233634	6.640544E-8	2.044000E-6	0.067017	7.422805E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.240000E-7	0.194870	6.091557E-8	3.364000E-6	0.095711	6.535524E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.760000E-7	0.404579	6.649080E-8	2.428000E-6	0.054068	5.907283E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
