Trigger Count=19881	Output Count=825	Elapsed Time=05:00.050	Number of Pulses CH0=1	Number of Pulses CH1=1
ate (Hz)=2.50E+8	Min record length=568	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=2.0000	Pulse 2 delay (microseconds)=0.5000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
1.920000E-7	0.307014	6.735753E-8	0.000000	0.000000	0.000000	1.920000E-6	0.634573	9.903849E-8	0.000000	0.000000	0.000000
2.320000E-7	0.160791	5.930365E-8	0.000000	0.000000	0.000000	1.852000E-6	0.648413	1.000482E-7	0.000000	0.000000	0.000000
2.160000E-7	0.156843	6.996340E-8	0.000000	0.000000	0.000000	1.616000E-6	0.651016	1.004296E-7	0.000000	0.000000	0.000000
2.120000E-7	0.270968	5.993547E-8	0.000000	0.000000	0.000000	7.360000E-7	0.648560	9.972944E-8	0.000000	0.000000	0.000000
2.440000E-7	0.118134	5.561286E-8	0.000000	0.000000	0.000000	1.132000E-6	0.649471	1.003453E-7	0.000000	0.000000	0.000000
2.440000E-7	0.106129	5.661976E-8	0.000000	0.000000	0.000000	1.432000E-6	0.648957	1.004573E-7	0.000000	0.000000	0.000000
2.400000E-7	0.421492	6.541981E-8	0.000000	0.000000	0.000000	8.920000E-7	0.650597	1.004173E-7	0.000000	0.000000	0.000000
1.680000E-7	0.474065	7.092129E-8	0.000000	0.000000	0.000000	1.664000E-6	0.650943	9.998496E-8	0.000000	0.000000	0.000000
2.160000E-7	0.183114	6.462428E-8	0.000000	0.000000	0.000000	1.216000E-6	0.644816	9.971880E-8	0.000000	0.000000	0.000000
2.560000E-7	0.175108	6.691786E-8	0.000000	0.000000	0.000000	1.508000E-6	0.650457	1.004818E-7	0.000000	0.000000	0.000000
