Trigger Count=19643	Output Count=2052	Elapsed Time=05:00.009	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=1136	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=4.0000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.200000E-7	0.078336	5.718760E-8	0.000000	0.000000	0.000000	5.480000E-7	0.061067	6.114065E-8	0.000000	0.000000	0.000000
4.400000E-7	0.465344	6.984332E-8	0.000000	0.000000	0.000000	4.640000E-7	0.460115	6.571885E-8	0.000000	0.000000	0.000000
5.200000E-7	0.092944	5.567906E-8	0.000000	0.000000	0.000000	5.320000E-7	0.311543	6.089158E-8	0.000000	0.000000	0.000000
4.640000E-7	0.331578	6.731702E-8	0.000000	0.000000	0.000000	5.000000E-7	0.100452	5.856239E-8	0.000000	0.000000	0.000000
5.080000E-7	0.116182	5.812236E-8	0.000000	0.000000	0.000000	5.240000E-7	0.259052	6.837982E-8	0.000000	0.000000	0.000000
5.120000E-7	0.118053	5.653883E-8	0.000000	0.000000	0.000000	5.360000E-7	0.122302	6.451113E-8	0.000000	0.000000	0.000000
5.040000E-7	0.121209	6.242675E-8	0.000000	0.000000	0.000000	5.160000E-7	0.501435	7.244127E-8	0.000000	0.000000	0.000000
4.920000E-7	0.210997	6.216394E-8	0.000000	0.000000	0.000000	5.120000E-7	0.103993	5.995181E-8	0.000000	0.000000	0.000000
4.920000E-7	0.141637	6.484407E-8	0.000000	0.000000	0.000000	5.240000E-7	0.075968	8.125901E-8	0.000000	0.000000	0.000000
5.040000E-7	0.112404	6.188620E-8	0.000000	0.000000	0.000000	5.240000E-7	0.150635	5.974755E-8	0.000000	0.000000	0.000000
4.560000E-7	0.434475	6.358086E-8	0.000000	0.000000	0.000000	5.040000E-7	0.074058	6.630976E-8	0.000000	0.000000	0.000000
4.960000E-7	0.125800	6.609553E-8	0.000000	0.000000	0.000000	5.120000E-7	0.312769	7.002846E-8	0.000000	0.000000	0.000000
4.800000E-7	0.188606	6.631066E-8	0.000000	0.000000	0.000000	5.040000E-7	0.064514	6.136354E-8	0.000000	0.000000	0.000000
4.680000E-7	0.269920	6.459897E-8	0.000000	0.000000	0.000000	4.920000E-7	0.336419	7.976878E-8	0.000000	0.000000	0.000000
5.120000E-7	0.114700	6.067214E-8	0.000000	0.000000	0.000000	5.320000E-7	0.202015	6.896441E-8	0.000000	0.000000	0.000000
4.400000E-7	0.512056	7.043430E-8	0.000000	0.000000	0.000000	4.720000E-7	0.131615	6.104997E-8	0.000000	0.000000	0.000000
4.840000E-7	0.196574	6.846668E-8	0.000000	0.000000	0.000000	5.040000E-7	0.353342	6.018215E-8	0.000000	0.000000	0.000000
5.280000E-7	0.062528	7.405525E-8	0.000000	0.000000	0.000000	5.480000E-7	0.116185	6.148207E-8	0.000000	0.000000	0.000000
4.600000E-7	0.214633	8.389201E-8	0.000000	0.000000	0.000000	4.840000E-7	0.227256	7.202929E-8	0.000000	0.000000	0.000000
5.120000E-7	0.118764	5.792231E-8	0.000000	0.000000	0.000000	5.520000E-7	0.072912	6.287954E-8	0.000000	0.000000	0.000000
5.280000E-7	0.048654	5.469919E-8	0.000000	0.000000	0.000000	5.400000E-7	0.165912	7.385434E-8	0.000000	0.000000	0.000000
5.160000E-7	0.074376	5.931591E-8	0.000000	0.000000	0.000000	5.320000E-7	0.425798	6.635675E-8	0.000000	0.000000	0.000000
5.040000E-7	0.107786	6.098879E-8	0.000000	0.000000	0.000000	5.240000E-7	0.183580	6.881408E-8	0.000000	0.000000	0.000000
4.560000E-7	0.410705	6.917660E-8	0.000000	0.000000	0.000000	4.920000E-7	0.111461	6.407504E-8	0.000000	0.000000	0.000000
4.680000E-7	0.330355	6.767146E-8	0.000000	0.000000	0.000000	4.880000E-7	0.095555	6.451637E-8	0.000000	0.000000	0.000000
4.720000E-7	0.213220	7.179527E-8	0.000000	0.000000	0.000000	5.000000E-7	0.081937	6.585636E-8	0.000000	0.000000	0.000000
5.200000E-7	0.067578	5.696916E-8	0.000000	0.000000	0.000000	5.360000E-7	0.205194	6.048379E-8	0.000000	0.000000	0.000000
4.800000E-7	0.363297	5.842200E-8	0.000000	0.000000	0.000000	5.040000E-7	0.191231	6.078927E-8	0.000000	0.000000	0.000000
4.920000E-7	0.190980	6.369604E-8	0.000000	0.000000	0.000000	5.120000E-7	0.099465	5.632271E-8	0.000000	0.000000	0.000000
4.520000E-7	0.484535	6.512967E-8	0.000000	0.000000	0.000000	4.840000E-7	0.131420	6.485411E-8	0.000000	0.000000	0.000000
5.240000E-7	0.066553	5.465612E-8	0.000000	0.000000	0.000000	5.560000E-7	0.256976	6.765388E-8	0.000000	0.000000	0.000000
