Trigger Count=13716	Output Count=8206	Elapsed Time=29.704	Number of Pulses CH0=2	Number of Pulses CH1=0
 rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.2000	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.356000E-6	0.327970	1.001706E-7	3.844800E-5	0.369604	1.030070E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.325974	9.979111E-8	3.845200E-5	0.367147	1.021600E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326329	9.991231E-8	3.845200E-5	0.366669	1.027475E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.327082	1.003387E-7	3.844800E-5	0.368130	1.030059E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326556	1.003818E-7	3.844800E-5	0.364794	1.018149E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.324462	9.948313E-8	3.845200E-5	0.364947	1.022553E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326555	9.969915E-8	3.845200E-5	0.366565	1.025405E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.325557	1.000977E-7	3.845200E-5	0.364582	1.020921E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.329739	1.002170E-7	3.844800E-5	0.369440	1.029660E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326964	1.002299E-7	3.845200E-5	0.367243	1.020617E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
