Trigger Count=22871	Output Count=22552	Elapsed Time=01:07.404	Number of Pulses CH0=2	Number of Pulses CH1=0
e (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.2000	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.356000E-6	0.328911	9.942892E-8	4.545200E-5	0.002377	6.944025E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.363731	1.024645E-7	4.526000E-5	0.317184	9.813709E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.360000E-6	0.325812	9.948773E-8	4.545200E-5	-0.001363	8.533758E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.367623	1.030976E-7	4.526000E-5	0.320512	9.857168E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.365569	1.025230E-7	4.526000E-5	0.318333	9.862006E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.365795	1.024086E-7	4.526000E-5	0.318937	9.868710E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.363120	1.019451E-7	4.526000E-5	0.321114	9.817112E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.366144	1.027415E-7	4.526000E-5	0.319016	9.894874E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326948	1.003991E-7	4.544800E-5	0.000233	4.615907E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.327698	1.000142E-7	4.545200E-5	-0.001246	4.631173E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.325736	9.949670E-8	4.545200E-5	0.001653	6.353738E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.364978	1.022748E-7	4.526000E-5	0.319627	9.837955E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.325225	9.986282E-8	4.544800E-5	-0.000894	1.132833E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.366430	1.022294E-7	4.526000E-5	0.316735	9.883358E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.328485	1.002459E-7	4.545200E-5	0.000329	3.096289E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.366424	1.025411E-7	4.526000E-5	0.315224	9.813577E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.329660	1.000010E-7	4.545200E-5	-0.001541	4.705008E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.327882	9.999532E-8	4.545200E-5	-0.000988	1.342296E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.366267	1.025155E-7	4.526000E-5	0.320107	9.877611E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.366529	1.027053E-7	4.526000E-5	0.317773	9.910300E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326575	1.001751E-7	4.544800E-5	-0.000478	1.157808E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.368011	1.022339E-7	4.526000E-5	0.318182	9.878076E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.367487	1.020374E-7	4.526000E-5	0.317974	9.837188E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.360000E-6	0.329377	9.979649E-8	4.545200E-5	0.001524	1.316112E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.364828	1.022392E-7	4.526000E-5	0.318876	9.891381E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.327563	9.975147E-8	4.545200E-5	-0.000493	7.773573E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326806	9.985830E-8	4.545200E-5	0.001341	5.507387E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.368861	1.024875E-7	4.526000E-5	0.316141	9.834828E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326810	1.005582E-7	4.544800E-5	0.001022	7.044769E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.328072	1.002727E-7	4.545200E-5	-0.001475	7.512435E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326234	9.946734E-8	4.545200E-5	-0.001313	6.582116E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.326536	1.000093E-7	4.545200E-5	0.000302	2.126943E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.324690	9.926134E-8	4.545200E-5	0.003077	3.516211E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.324154	9.982267E-8	4.544800E-5	-0.001399	6.050365E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.367948	1.029688E-7	4.526000E-5	0.317671	9.906258E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.369466	1.030087E-7	4.526000E-5	0.316328	9.845203E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
