Trigger Count=20186	Output Count=18548	Elapsed Time=01:00.001	Number of Pulses CH0=2	Number of Pulses CH1=0
e (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.2000	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.356000E-6	0.484080	1.000463E-7	1.045200E-5	0.535724	1.018785E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.484313	1.001417E-7	1.045200E-5	0.535572	1.016328E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.486373	1.003534E-7	1.044800E-5	0.537760	1.020874E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.483471	1.005836E-7	1.044800E-5	0.540574	1.025302E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.352000E-6	0.484144	9.975543E-8	1.044800E-5	0.537375	1.019246E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.482824	1.001955E-7	1.044800E-5	0.541093	1.026179E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.484184	1.002504E-7	1.045200E-5	0.535968	1.016944E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.485718	9.989468E-8	1.044800E-5	0.537458	1.021256E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.481983	1.001315E-7	1.044800E-5	0.536395	1.022944E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.487958	1.007728E-7	1.044800E-5	0.504501	9.930864E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
